SystemName,PlanetName,BodyType,PlanetFormID,PlanetEditorID,StarSystemID,ParentPlanetID,PlanetID,ResourceCategory,ResourceFormID,ResourceEditorID,ResourceName,Rarity
Al-Battani,Al-Battani VIII,Planet,0005E003,Al-BattaniVIIIPlanetData,65147,0,8,Inorganic,000057F5,ResInorgCommonHelium3_G,Helium3,Common
Al-Battani,Al-Battani VIII,Planet,0005E003,Al-BattaniVIIIPlanetData,65147,0,8,Inorganic,000057D8,ResInorgUncommonBeryllium,Beryllium,Uncommon
Al-Battani,Al-Battani VIII-a,Moon,0005E004,Al-BattaniVIII-aPlanetData,65147,8,18,Inorganic,000057C1,ResInorgCommonLead,Lead,Common
Al-Battani,Al-Battani VIII-a,Moon,0005E004,Al-BattaniVIII-aPlanetData,65147,8,18,Inorganic,000083EC,ResInorgCommonWater_L,Water,Common
Al-Battani,Al-Battani VIII-a,Moon,0005E004,Al-BattaniVIII-aPlanetData,65147,8,18,Inorganic,000057C3,ResInorgUncommonSilver,Silver,Uncommon
Alchiba,Alchiba I,Planet,0005E40E,AlchibaIPlanetData,59020,0,1,Inorganic,000057C1,ResInorgCommonLead,Lead,Common
Alchiba,Alchiba I,Planet,0005E40E,AlchibaIPlanetData,59020,0,1,Inorganic,000057CB,ResInorgCommonNickel,Nickel,Common
Alchiba,Alchiba I,Planet,0005E40E,AlchibaIPlanetData,59020,0,1,Inorganic,000057CE,ResInorgUncommonCobalt,Cobalt,Uncommon
Alchiba,Alchiba I,Planet,0005E40E,AlchibaIPlanetData,59020,0,1,Inorganic,000057CD,ResInorgExoticPalladium,Palladium,Exotic
Alchiba,Alchiba II,Planet,0005E40F,AlchibaIIPlanetData,59020,0,2,Inorganic,000057C7,ResInorgCommonIron,Iron,Common
Alchiba,Alchiba II,Planet,0005E40F,AlchibaIIPlanetData,59020,0,2,Inorganic,000057C1,ResInorgCommonLead,Lead,Common
Alchiba,Alchiba II,Planet,0005E40F,AlchibaIIPlanetData,59020,0,2,Inorganic,000057EB,ResInorgCommonUranium,Uranium,Common
Alchiba,Alchiba II,Planet,0005E40F,AlchibaIIPlanetData,59020,0,2,Inorganic,000057C9,ResInorgUncommonAlkanes_G,Alkanes,Uncommon
Alchiba,Alchiba II,Planet,0005E40F,AlchibaIIPlanetData,59020,0,2,Inorganic,000057EC,ResInorgUncommonIridium,Iridium,Uncommon
Alchiba,Alchiba II,Planet,0005E40F,AlchibaIIPlanetData,59020,0,2,Inorganic,000057C3,ResInorgUncommonSilver,Silver,Uncommon
Alchiba,Alchiba II-a,Moon,0005E410,AlchibaII-aPlanetData,59020,2,12,Inorganic,000057D6,ResInorgCommonAluminum,Aluminum,Common
Alchiba,Alchiba II-a,Moon,0005E410,AlchibaII-aPlanetData,59020,2,12,Inorganic,000057F5,ResInorgCommonHelium3_G,Helium3,Common
Alchiba,Alchiba III-a,Moon,0005E413,AlchibaIII-aPlanetData,59020,3,28,Inorganic,000057D6,ResInorgCommonAluminum,Aluminum,Common
Alchiba,Alchiba III-a,Moon,0005E413,AlchibaIII-aPlanetData,59020,3,28,Inorganic,000057F5,ResInorgCommonHelium3_G,Helium3,Common
Alchiba,Alchiba III-a,Moon,0005E413,AlchibaIII-aPlanetData,59020,3,28,Inorganic,000057C1,ResInorgCommonLead,Lead,Common
Alchiba,Alchiba III-a,Moon,0005E413,AlchibaIII-aPlanetData,59020,3,28,Inorganic,000083EC,ResInorgCommonWater_L,Water,Common
Alchiba,Alchiba III-a,Moon,0005E413,AlchibaIII-aPlanetData,59020,3,28,Inorganic,000057C4,ResInorgUncommonTungsten,Tungsten,Uncommon
Alchiba,Alchiba III-b,Moon,0005E412,AlchibaIII-bPlanetData,59020,3,27,Inorganic,000057D6,ResInorgCommonAluminum,Aluminum,Common
Alchiba,Alchiba III-b,Moon,0005E412,AlchibaIII-bPlanetData,59020,3,27,Inorganic,000057F5,ResInorgCommonHelium3_G,Helium3,Common
Alchiba,Alchiba III-c,Moon,0005E414,AlchibaIII-cPlanetData,59020,3,29,Inorganic,000057D6,ResInorgCommonAluminum,Aluminum,Common
Alchiba,Alchiba III-c,Moon,0005E414,AlchibaIII-cPlanetData,59020,3,29,Inorganic,000057F5,ResInorgCommonHelium3_G,Helium3,Common
Alchiba,Alchiba III-c,Moon,0005E414,AlchibaIII-cPlanetData,59020,3,29,Inorganic,000057CB,ResInorgCommonNickel,Nickel,Common
Alchiba,Alchiba III-c,Moon,0005E414,AlchibaIII-cPlanetData,59020,3,29,Inorganic,000083EC,ResInorgCommonWater_L,Water,Common
Alchiba,Alchiba III-c,Moon,0005E414,AlchibaIII-cPlanetData,59020,3,29,Inorganic,000057D8,ResInorgUncommonBeryllium,Beryllium,Uncommon
Alchiba,Alchiba III-c,Moon,0005E414,AlchibaIII-cPlanetData,59020,3,29,Inorganic,000057CE,ResInorgUncommonCobalt,Cobalt,Uncommon
Alchiba,Alchiba III-c,Moon,0005E414,AlchibaIII-cPlanetData,59020,3,29,Inorganic,000057DB,ResInorgRareNeodymium,Neodymium,Rare
Alchiba,Alchiba III-c,Moon,0005E414,AlchibaIII-cPlanetData,59020,3,29,Inorganic,000057CC,ResInorgRarePlatinum,Platinum,Rare
Alchiba,Alchiba IV,Planet,0005E415,AlchibaIVPlanetData,59020,0,4,Inorganic,000057CF,ResInorgCommonCopper,Copper,Common
Alchiba,Alchiba IV,Planet,0005E415,AlchibaIVPlanetData,59020,0,4,Inorganic,000057C1,ResInorgCommonLead,Lead,Common
Alchiba,Alchiba IV,Planet,0005E415,AlchibaIVPlanetData,59020,0,4,Inorganic,000057EB,ResInorgCommonUranium,Uranium,Common
Alchiba,Alchiba IV,Planet,0005E415,AlchibaIVPlanetData,59020,0,4,Inorganic,000083EC,ResInorgCommonWater_L,Water,Common
Alchiba,Alchiba IV,Planet,0005E415,AlchibaIVPlanetData,59020,0,4,Inorganic,000057EC,ResInorgUncommonIridium,Iridium,Uncommon
Alchiba,Alchiba IV,Planet,0005E415,AlchibaIVPlanetData,59020,0,4,Inorganic,000057D1,ResInorgRareTetrafluorides_G,Tetrafluorides,Rare
Alchiba,Alchiba IV,Planet,0005E415,AlchibaIVPlanetData,59020,0,4,Inorganic,000057ED,ResInorgRareVanadium,Vanadium,Rare
Alchiba,Alchiba IV-a,Moon,0005E416,AlchibaIV-aPlanetData,59020,4,13,Inorganic,000057EA,ResInorgCommonArgon_G,Argon,Common
Alchiba,Alchiba IV-a,Moon,0005E416,AlchibaIV-aPlanetData,59020,4,13,Inorganic,000057CF,ResInorgCommonCopper,Copper,Common
Alchiba,Alchiba IV-a,Moon,0005E416,AlchibaIV-aPlanetData,59020,4,13,Inorganic,000057C1,ResInorgCommonLead,Lead,Common
Alchiba,Alchiba IV-a,Moon,0005E416,AlchibaIV-aPlanetData,59020,4,13,Inorganic,000057CB,ResInorgCommonNickel,Nickel,Common
Alchiba,Alchiba IV-a,Moon,0005E416,AlchibaIV-aPlanetData,59020,4,13,Inorganic,000083EC,ResInorgCommonWater_L,Water,Common
Alchiba,Alchiba IV-a,Moon,0005E416,AlchibaIV-aPlanetData,59020,4,13,Inorganic,000057CE,ResInorgUncommonCobalt,Cobalt,Uncommon
Alchiba,Alchiba IV-a,Moon,0005E416,AlchibaIV-aPlanetData,59020,4,13,Inorganic,000057D0,ResInorgUncommonFluorine_G,Fluorine,Uncommon
Alchiba,Alchiba IX-a,Moon,0005E426,AlchibaIX-aPlanetData,59020,9,24,Inorganic,000057EA,ResInorgCommonArgon_G,Argon,Common
Alchiba,Alchiba IX-a,Moon,0005E426,AlchibaIX-aPlanetData,59020,9,24,Inorganic,000083EC,ResInorgCommonWater_L,Water,Common
Alchiba,Alchiba V,Planet,0005E417,AlchibaVPlanetData,59020,0,5,Inorganic,000057EA,ResInorgCommonArgon_G,Argon,Common
Alchiba,Alchiba V,Planet,0005E417,AlchibaVPlanetData,59020,0,5,Inorganic,000057C1,ResInorgCommonLead,Lead,Common
Alchiba,Alchiba V,Planet,0005E417,AlchibaVPlanetData,59020,0,5,Inorganic,000057EB,ResInorgCommonUranium,Uranium,Common
Alchiba,Alchiba V,Planet,0005E417,AlchibaVPlanetData,59020,0,5,Inorganic,000083EC,ResInorgCommonWater_L,Water,Common
Alchiba,Alchiba V,Planet,0005E417,AlchibaVPlanetData,59020,0,5,Inorganic,000057EC,ResInorgUncommonIridium,Iridium,Uncommon
Alchiba,Alchiba V-a,Moon,0005E418,AlchibaV-aPlanetData,59020,5,14,Inorganic,000057F5,ResInorgCommonHelium3_G,Helium3,Common
Alchiba,Alchiba V-a,Moon,0005E418,AlchibaV-aPlanetData,59020,5,14,Inorganic,000057C7,ResInorgCommonIron,Iron,Common
Alchiba,Alchiba V-a,Moon,0005E418,AlchibaV-aPlanetData,59020,5,14,Inorganic,000057C9,ResInorgUncommonAlkanes_G,Alkanes,Uncommon
Alchiba,Alchiba V-a,Moon,0005E418,AlchibaV-aPlanetData,59020,5,14,Inorganic,000057CA,ResInorgExoticYtterbium,Ytterbium,Exotic
Alchiba,Alchiba VI-a,Moon,0005E41B,AlchibaVI-aPlanetData,59020,6,18,Inorganic,000057CF,ResInorgCommonCopper,Copper,Common
Alchiba,Alchiba VI-a,Moon,0005E41B,AlchibaVI-aPlanetData,59020,6,18,Inorganic,000083EC,ResInorgCommonWater_L,Water,Common
Alchiba,Alchiba VI-a,Moon,0005E41B,AlchibaVI-aPlanetData,59020,6,18,Inorganic,000057D0,ResInorgUncommonFluorine_G,Fluorine,Uncommon
Alchiba,Alchiba VI-a,Moon,0005E41B,AlchibaVI-aPlanetData,59020,6,18,Inorganic,000057D2,ResInorgRareGold,Gold,Rare
Alchiba,Alchiba VI-b,Moon,0005E41A,AlchibaVI-bPlanetData,59020,6,17,Inorganic,000057CF,ResInorgCommonCopper,Copper,Common
Alchiba,Alchiba VI-b,Moon,0005E41A,AlchibaVI-bPlanetData,59020,6,17,Inorganic,000083EC,ResInorgCommonWater_L,Water,Common
Alchiba,Alchiba VI-b,Moon,0005E41A,AlchibaVI-bPlanetData,59020,6,17,Inorganic,000057D1,ResInorgRareTetrafluorides_G,Tetrafluorides,Rare
Alchiba,Alchiba VI-c,Moon,0005E41C,AlchibaVI-cPlanetData,59020,6,19,Inorganic,000057CF,ResInorgCommonCopper,Copper,Common
Alchiba,Alchiba VI-c,Moon,0005E41C,AlchibaVI-cPlanetData,59020,6,19,Inorganic,000083EC,ResInorgCommonWater_L,Water,Common
Alchiba,Alchiba VI-c,Moon,0005E41C,AlchibaVI-cPlanetData,59020,6,19,Inorganic,000057D0,ResInorgUncommonFluorine_G,Fluorine,Uncommon
Alchiba,Alchiba VII-a,Moon,0005E420,AlchibaVII-aPlanetData,59020,7,22,Inorganic,000057CF,ResInorgCommonCopper,Copper,Common
Alchiba,Alchiba VII-a,Moon,0005E420,AlchibaVII-aPlanetData,59020,7,22,Inorganic,000083EC,ResInorgCommonWater_L,Water,Common
Alchiba,Alchiba VII-b,Moon,0005E421,AlchibaVII-bPlanetData,59020,7,23,Inorganic,000057D5,ResInorgCommonChlorine_G,Chlorine,Common
Alchiba,Alchiba VII-b,Moon,0005E421,AlchibaVII-bPlanetData,59020,7,23,Inorganic,000057CF,ResInorgCommonCopper,Copper,Common
Alchiba,Alchiba VII-b,Moon,0005E421,AlchibaVII-bPlanetData,59020,7,23,Inorganic,000057C1,ResInorgCommonLead,Lead,Common
Alchiba,Alchiba VII-b,Moon,0005E421,AlchibaVII-bPlanetData,59020,7,23,Inorganic,000057CB,ResInorgCommonNickel,Nickel,Common
Alchiba,Alchiba VII-b,Moon,0005E421,AlchibaVII-bPlanetData,59020,7,23,Inorganic,000083EC,ResInorgCommonWater_L,Water,Common
Alchiba,Alchiba VII-b,Moon,0005E421,AlchibaVII-bPlanetData,59020,7,23,Inorganic,000057CE,ResInorgUncommonCobalt,Cobalt,Uncommon
Alchiba,Alchiba VII-b,Moon,0005E421,AlchibaVII-bPlanetData,59020,7,23,Inorganic,000057D1,ResInorgRareTetrafluorides_G,Tetrafluorides,Rare
Alchiba,Alchiba VII-c,Moon,0005E41E,AlchibaVII-cPlanetData,59020,7,20,Inorganic,000057C1,ResInorgCommonLead,Lead,Common
Alchiba,Alchiba VII-c,Moon,0005E41E,AlchibaVII-cPlanetData,59020,7,20,Inorganic,000083EC,ResInorgCommonWater_L,Water,Common
Alchiba,Alchiba VII-c,Moon,0005E41E,AlchibaVII-cPlanetData,59020,7,20,Inorganic,0027C499,ResInorgRareMercury_L,Mercury,Rare
Alchiba,Alchiba VII-d,Moon,0005E41F,AlchibaVII-dPlanetData,59020,7,21,Inorganic,000057C1,ResInorgCommonLead,Lead,Common
Alchiba,Alchiba VII-d,Moon,0005E41F,AlchibaVII-dPlanetData,59020,7,21,Inorganic,000083EC,ResInorgCommonWater_L,Water,Common
Alchiba,Alchiba VIII,Planet,0005E422,AlchibaVIIIPlanetData,59020,0,8,Inorganic,000057F5,ResInorgCommonHelium3_G,Helium3,Common
Alchiba,Alchiba VIII,Planet,0005E422,AlchibaVIIIPlanetData,59020,0,8,Inorganic,000057C7,ResInorgCommonIron,Iron,Common
Alchiba,Alchiba VIII-a,Moon,0005E424,AlchibaVIII-aPlanetData,59020,8,16,Inorganic,000057C1,ResInorgCommonLead,Lead,Common
Alchiba,Alchiba VIII-a,Moon,0005E424,AlchibaVIII-aPlanetData,59020,8,16,Inorganic,000083EC,ResInorgCommonWater_L,Water,Common
Alchiba,Alchiba VIII-b,Moon,0005E423,AlchibaVIII-bPlanetData,59020,8,15,Inorganic,000057D6,ResInorgCommonAluminum,Aluminum,Common
Alchiba,Alchiba VIII-b,Moon,0005E423,AlchibaVIII-bPlanetData,59020,8,15,Inorganic,000057F5,ResInorgCommonHelium3_G,Helium3,Common
Alchiba,Alchiba X-a,Moon,0005E429,AlchibaX-aPlanetData,59020,10,26,Inorganic,000057CF,ResInorgCommonCopper,Copper,Common
Alchiba,Alchiba X-a,Moon,0005E429,AlchibaX-aPlanetData,59020,10,26,Inorganic,000083EC,ResInorgCommonWater_L,Water,Common
Alchiba,Alchiba X-a,Moon,0005E429,AlchibaX-aPlanetData,59020,10,26,Inorganic,000057D2,ResInorgRareGold,Gold,Rare
Alchiba,Alchiba X-b,Moon,0005E428,AlchibaX-bPlanetData,59020,10,25,Inorganic,000057EA,ResInorgCommonArgon_G,Argon,Common
Alchiba,Alchiba X-b,Moon,0005E428,AlchibaX-bPlanetData,59020,10,25,Inorganic,000057C1,ResInorgCommonLead,Lead,Common
Alchiba,Alchiba X-b,Moon,0005E428,AlchibaX-bPlanetData,59020,10,25,Inorganic,000083EC,ResInorgCommonWater_L,Water,Common
Alchiba,Alchiba X-b,Moon,0005E428,AlchibaX-bPlanetData,59020,10,25,Inorganic,000057E7,ResInorgUncommonBenzene_G,Benzene,Uncommon
Algorab,Algorab I,Planet,0003F599,AlgorabIPlanetData,60776,0,1,Inorganic,000057C1,ResInorgCommonLead,Lead,Common
Algorab,Algorab I,Planet,0003F599,AlgorabIPlanetData,60776,0,1,Inorganic,000057EB,ResInorgCommonUranium,Uranium,Common
Algorab,Algorab I,Planet,0003F599,AlgorabIPlanetData,60776,0,1,Inorganic,000057EC,ResInorgUncommonIridium,Iridium,Uncommon
Algorab,Algorab II,Planet,0005DE57,AlgorabIIPlanetData,60776,0,2,Inorganic,000057EA,ResInorgCommonArgon_G,Argon,Common
Algorab,Algorab II,Planet,0005DE57,AlgorabIIPlanetData,60776,0,2,Inorganic,000057D5,ResInorgCommonChlorine_G,Chlorine,Common
Algorab,Algorab II,Planet,0005DE57,AlgorabIIPlanetData,60776,0,2,Inorganic,000083EC,ResInorgCommonWater_L,Water,Common
Algorab,Algorab II,Planet,0005DE57,AlgorabIIPlanetData,60776,0,2,Inorganic,000057E8,ResInorgRareCarboxylicAcids_L,CarboxylicAcids,Rare
Algorab,Algorab II,Planet,0005DE57,AlgorabIIPlanetData,60776,0,2,Inorganic,000057DA,ResInorgRareLithium,Lithium,Rare
Algorab,Algorab II,Planet,0005DE57,AlgorabIIPlanetData,60776,0,2,Organic,0007782D,ResOrgCommonSealant,Sealant,Common
Algorab,Algorab II,Planet,0005DE57,AlgorabIIPlanetData,60776,0,2,Organic,0022464B,ResOrgCommonSealantFaunaCarnivore,Sealant,Common
Algorab,Algorab II,Planet,0005DE57,AlgorabIIPlanetData,60776,0,2,Organic,000777FA,ResOrgCommonStructural,Structural,Common
Algorab,Algorab II,Planet,0005DE57,AlgorabIIPlanetData,60776,0,2,Organic,0022463F,ResOrgUncommonOrnamentalFaunaHerbivore,Ornamental,Uncommon
Algorab,Algorab II,Planet,0005DE57,AlgorabIIPlanetData,60776,0,2,Organic,0029F401,ResOrgUncommonPigment,Pigment,Uncommon
Algorab,Algorab II,Planet,0005DE57,AlgorabIIPlanetData,60776,0,2,Organic,0022462F,ResOrgUncommonPigmentFaunaHerbivore,Pigment,Uncommon
Algorab,Algorab III-a,Moon,0005DE5B,AlgorabIII-aPlanetData,60776,3,7,Inorganic,000057EA,ResInorgCommonArgon_G,Argon,Common
Algorab,Algorab III-a,Moon,0005DE5B,AlgorabIII-aPlanetData,60776,3,7,Inorganic,000057EB,ResInorgCommonUranium,Uranium,Common
Algorab,Algorab III-a,Moon,0005DE5B,AlgorabIII-aPlanetData,60776,3,7,Inorganic,000083EC,ResInorgCommonWater_L,Water,Common
Algorab,Algorab III-b,Moon,0005DE5D,AlgorabIII-bPlanetData,60776,3,9,Inorganic,000057D6,ResInorgCommonAluminum,Aluminum,Common
Algorab,Algorab III-b,Moon,0005DE5D,AlgorabIII-bPlanetData,60776,3,9,Inorganic,000057EA,ResInorgCommonArgon_G,Argon,Common
Algorab,Algorab III-b,Moon,0005DE5D,AlgorabIII-bPlanetData,60776,3,9,Inorganic,000057D5,ResInorgCommonChlorine_G,Chlorine,Common
