FormID,EditorID,Name,Rarity,ChildFormID,ChildEditorID,ChildName,ChildRarity
"000057D8","ResInorgUncommonBeryllium","Beryllium","Uncommon","","","",""
"000057D7","ResInorgUncommonChlorosilanes_L","Chlorosilanes","Uncommon","000057DA","ResInorgRareLithium","Lithium","Rare"
"000057CE","ResInorgUncommonCobalt","Cobalt","Uncommon","000057CC","ResInorgRarePlatinum","Platinum","Rare"
"000057D0","ResInorgUncommonFluorine_G","Fluorine","Uncommon","000057D1","ResInorgRareTetrafluorides_G","Tetrafluorides","Rare"
"000057EC","ResInorgUncommonIridium","Iridium","Uncommon","","","",""
"000057C3","ResInorgUncommonSilver","Silver","Uncommon","0027C499","ResInorgRareMercury_L","Mercury","Rare"
"000057C4","ResInorgUncommonTungsten","Tungsten","Uncommon","000057C6","ResInorgRareTitanium","Titanium","Rare"
"00005DF5","ResInorgUniqueAldumite","Aldumite","Unique","","","",""
"00006529","ResInorgUniqueAqueousHematite","Aqueous Hematite","Unique","","","",""
"00252074","ResInorgUniqueCaelumite","Caelumite","Exotic","","","",""
"0004BA38","ResInorgUniqueIndicite","Indicite","Unique","","","",""
"00005DF1","ResInorgUniqueRothicite","Rothicite","Unique","","","",""
"00005DF6","ResInorgUniqueTasine_L","Tasine","Unique","","","",""
"00005DF7","ResInorgUniqueVeryl_G","Veryl","Unique","","","",""
"00005DF8","ResInorgUniqueVytinium","Vytinium","Unique","","","",""
